Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (win64) Build 2405991 Thu Dec  6 23:38:27 MST 2018
| Date         : Sat Jun 27 15:41:07 2026
| Host         : LAPTOP-476JT8H0 running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file util_hier_stage1_mode_gating.txt
| Design       : board_demo_competition_dac8_top
| Device       : 7a35tfgg484-2
| Design State : Routed
-----------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------+-----------------------------------------------+------------+------------+---------+------+------+--------+--------+--------------+
|                  Instance                 |                     Module                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-------------------------------------------+-----------------------------------------------+------------+------------+---------+------+------+--------+--------+--------------+
| board_demo_competition_dac8_top           |                                         (top) |      10204 |      10084 |       0 |  120 | 4641 |      0 |      0 |            2 |
|   (board_demo_competition_dac8_top)       |                                         (top) |       2044 |       2044 |       0 |    0 |   56 |      0 |      0 |            0 |
|   u_clk_wiz_audio_44k1                    |                            clk_wiz_audio_44k1 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|     inst                                  | clk_wiz_audio_44k1_clk_wiz_audio_44k1_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|   u_clk_wiz_audio_48k                     |                             clk_wiz_audio_48k |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|     inst                                  |   clk_wiz_audio_48k_clk_wiz_audio_48k_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|   u_demo_interp_dac8_audio_pcm_common     |             demo_interp_dac8_audio_pcm_common |       8300 |       8180 |       0 |  120 | 4585 |      0 |      0 |            2 |
|     (u_demo_interp_dac8_audio_pcm_common) |             demo_interp_dac8_audio_pcm_common |        392 |        392 |       0 |    0 |   16 |      0 |      0 |            0 |
|     u_audio_pcm_rom_source                |                          audio_pcm_rom_source |         35 |         35 |       0 |    0 |   81 |      0 |      0 |            0 |
|     u_interp128_top_ce                    |                              interp128_top_ce |       7873 |       7753 |       0 |  120 | 4488 |      0 |      0 |            2 |
|       (u_interp128_top_ce)                |                              interp128_top_ce |         74 |         74 |       0 |    0 |    0 |      0 |      0 |            0 |
|       u_bridge_16_to_32                   |                          bridge_to_interp2_ce |         26 |         26 |       0 |    0 |   26 |      0 |      0 |            0 |
