VARIANT,TEST,OUTPUT_COUNT,ACC_OVERFLOW_COUNT,OUTPUT_SAT_COUNT,OUTPUT_PEAK,PASS
baseline,impulse,39291,0,0,4176595,1
baseline,dc,72059,0,0,1195342,1
baseline,sine_1k_m1dbfs,137595,0,0,7936690,1
baseline,sine_19k_m6dbfs,137595,0,0,4503188,1
baseline,sine_20k_m6dbfs,137595,0,0,4355852,1
baseline,random,22907,0,0,1639187,1
stage7,impulse,39291,0,0,4176595,1
stage7,dc,72059,0,0,1195342,1
stage7,sine_1k_m1dbfs,137595,0,0,7936690,1
stage7,sine_19k_m6dbfs,137595,0,0,4503188,1
stage7,sine_20k_m6dbfs,137595,0,0,4355852,1
stage7,random,22907,0,0,1639187,1
stage6_7,impulse,39291,0,0,4176598,1
stage6_7,dc,72059,0,0,1195342,1
stage6_7,sine_1k_m1dbfs,137595,0,0,7936691,1
stage6_7,sine_19k_m6dbfs,137595,0,0,4503191,1
stage6_7,sine_20k_m6dbfs,137595,0,0,4355861,1
stage6_7,random,22907,0,0,1639188,1
stage5_7,impulse,39291,0,0,4176644,1
stage5_7,dc,72059,0,0,1195344,1
stage5_7,sine_1k_m1dbfs,137595,0,0,7936719,1
stage5_7,sine_19k_m6dbfs,137595,0,0,4503187,1
stage5_7,sine_20k_m6dbfs,137595,0,0,4355840,1
stage5_7,random,22907,0,0,1639186,1
stage4_7,impulse,39291,0,0,4176504,1
stage4_7,dc,72059,0,0,1195182,1
stage4_7,sine_1k_m1dbfs,137595,0,0,7935629,1
stage4_7,sine_19k_m6dbfs,137595,0,0,4502750,1
stage4_7,sine_20k_m6dbfs,137595,0,0,4356746,1
stage4_7,random,22907,0,0,1639100,1
