STAGE,PHASE,INDEX,INTEGER_VALUE,FRAC_W,COEFF_W,CONFIG_CHECKSUM
2,0,0,-115,15,16,589716
2,0,1,534,15,16,589716
2,0,2,-1302,15,16,589716
2,0,3,2116,15,16,589716
2,0,4,30298,15,16,589716
2,0,5,2116,15,16,589716
2,0,6,-1302,15,16,589716
2,0,7,534,15,16,589716
2,0,8,-115,15,16,589716
2,1,0,-203,15,16,589716
2,1,1,1233,15,16,589716
2,1,2,-4595,15,16,589716
2,1,3,19945,15,16,589716
2,1,4,19945,15,16,589716
2,1,5,-4595,15,16,589716
2,1,6,1233,15,16,589716
2,1,7,-203,15,16,589716
3,0,0,202,14,15,196584
3,0,1,-1636,14,15,196584
3,0,2,9625,14,15,196584
3,0,3,9625,14,15,196584
3,0,4,-1636,14,15,196584
3,0,5,202,14,15,196584
3,1,0,-74,14,15,196584
3,1,1,261,14,15,196584
3,1,2,16008,14,15,196584
3,1,3,261,14,15,196584
3,1,4,-74,14,15,196584
