CASE_NAME,FS_IN_HZ,SNR_VS_FLOAT_DB,ACC_OVERFLOW,TOTAL_SATURATION,INHERITED_FRONT_SATURATION,P3_STAGE3_SATURATION,P3_CIC_SATURATION,BASELINE_STAGE3_SATURATION,BASELINE_CIC_SATURATION,P3_CIC_SATURATION_DELTA,CIC_I1_WRAP,CIC_I2_WRAP,MAX_ABS_OUTPUT,IMPULSE_128X_PASS_44K1_DB,IMPULSE_128X_STOP_44K1_DB,IMPULSE_128X_PASS_48K_DB,IMPULSE_128X_STOP_48K_DB,PASS
impulse,44100,NaN,0,0,0,0,0,0,0,0,0,0,261966,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
fullscale_positive,44100,103.4742563674,0,1,1,0,0,0,0,0,0,0,523932,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
fullscale_negative,44100,103.480335174203,0,0,0,0,0,0,0,0,0,0,523932,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
random_seed307817,44100,97.8116907451473,0,0,0,0,0,0,0,0,0,0,101311,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
tone_m1_44k1,44100,80.8629498498403,0,20,4,0,16,1,16,0,0,0,524287,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
tone_m60_44k1,44100,58.0663598255182,0,0,0,0,0,0,0,0,0,0,592,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
tone_m90_44k1,44100,29.8644355609863,0,0,0,0,0,0,0,0,0,0,19,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
tone_m1_48k,48000,116.727210478651,0,0,0,0,0,0,0,0,0,0,467046,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
tone_m60_48k,48000,57.8160213603355,0,0,0,0,0,0,0,0,0,0,525,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
tone_m90_48k,48000,30.2842001010215,0,0,0,0,0,0,0,0,0,0,17,0.00774053816238827,72.3719013026997,0.00761449809804702,72.3719013026997,1
