SOURCE,TAPS,STOP_WEIGHT,MAX_COEFF_INT,REQUIRED_COEFF_W,PHASE0_MAC_TASKS,PHASE1_MAC_TASKS,DEADLINE_MARGIN_AUDIO_CYCLES,WORST_ABS_PASS_DB,WORST_128X_STOP_DB,WORST_ABS_DC_DB,WORST_MODE_DELTA_DB,SYMMETRY_ERROR,COEFF_FIT,FREQUENCY_PASS,SCHEDULE_PASS,PASS,BITTRUE_EVALUATED,BITTRUE_PASS,BITTRUE_MAX_STAGE3_SAT_DELTA,BITTRUE_MAX_CIC_SAT_DELTA,BITTRUE_MIN_SNR_DB,BITTRUE_FAIL_CASES
mechanical_convolution_q15,13,NaN,35208,17,7,6,6,0.00521326122803774,72.3696164719169,0.00265093350268335,0.00106035398265463,0,1,1,1,1,0,0,NaN,NaN,NaN,
legacy_phase7_seed,11,0.01,35604,17,6,5,7,0.00350203132065557,72.3660941708154,0.00265093350267563,7.71605002114484e-15,0,1,1,1,1,1,0,0,2,28.9623634264117,tone_m1_44k1
legacy_phase7_seed_trim_0.99975,11,0.99975,35595,17,6,5,7,0.0050535852537353,72.368366269954,0.00384398648161046,0.00225340696158174,0,1,1,1,1,1,0,0,2,29.8946401380419,tone_m1_44k1
legacy_phase7_seed_trim_0.9995,11,0.9995,35586,17,6,5,7,0.00708658634371235,72.370446861131,0.00583277234578225,0.00424219282575353,0,1,1,1,1,1,0,0,1,29.8708798065222,tone_m1_44k1
legacy_phase7_seed_trim_0.99945,11,0.99945,35584,17,6,5,7,0.0076053803324778,72.3709505501117,0.00636319215836145,0.00477261263833273,0,1,1,1,1,1,1,0,0,29.8644355609863,
legacy_phase7_seed_trim_0.9994,11,0.9994,35583,17,6,5,7,0.00779626280734358,72.3712088121478,0.00649580217275146,0.00490522265272274,0,1,1,1,1,0,0,NaN,NaN,NaN,
legacy_phase7_seed_trim_0.99935,11,0.99935,35581,17,6,5,7,0.0083150991869218,72.3717125453176,0.00702626247724055,0.00543568295721183,0,1,1,1,1,0,0,NaN,NaN,NaN,
legacy_phase7_seed_trim_0.9993,11,0.9993,35579,17,6,5,7,0.0088339665601323,72.3722163076998,0.0075567551797048,0.00596617565967608,0,1,1,1,1,0,0,NaN,NaN,NaN,
legacy_phase7_seed_trim_0.99925,11,0.99925,35577,17,6,5,7,0.00935286493067726,72.3727200993032,0.00808728028412215,0.00649670076409343,0,1,1,1,1,0,0,NaN,NaN,NaN,
legacy_phase7_seed_trim_0.9992,11,0.9992,35576,17,6,5,7,0.00974012268974466,72.3730935211021,0.00848519537858967,0.00689461585856095,0,1,1,1,1,0,0,NaN,NaN,NaN,
