C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-507,-2760,857,19148,32079,9,65555,0.0177122333476469,72.3874310892422,527579,0.0175000675783713,72.3867297243122,1
-510,-2757,827,19146,32168,9,65580,0.0136152594072009,71.5176196432331,528077,0.0136152516034012,71.5097014338153,1
-520,-2757,819,19152,32189,9,65577,0.0138805472487182,71.991505671652,527979,0.0138806104946332,71.9893950492897,1
-534,-2828,947,19192,31962,9,65516,0.0140046120703505,72.3831135594485,527749,0.0137969884421123,72.3824263882846,1
-485,-2764,753,19155,32244,9,65562,0.0146734157492262,72.3841575040577,527671,0.0144629363551371,72.3834618141443,1
-501,-2762,939,19145,31943,9,65585,0.0200238632030509,72.3902483559322,527886,0.0198079833235113,72.3895349492461,1
-513,-2711,827,19127,32167,9,65627,0.0185682769164465,72.2812813072653,528000,0.0185686089385485,72.2784651137397,1
-498,-2717,839,19128,32130,9,65634,0.0188665980200827,72.3839541352763,528059,0.0188664995299284,72.3832414299598,1
-494,-2768,732,19142,32271,9,65495,0.0193286547731196,72.3884931480376,527315,0.0191205349730902,72.3878049475361,1
-497,-2857,763,19212,32247,9,65489,0.0105002300937482,71.1953540007789,527763,0.0102974656319656,71.1950846446318,1
-470,-2764,786,19145,32192,9,65586,0.016820065211182,72.1192639060453,528095,0.0166066381662977,72.1192629125341,1
-481,-2790,756,19189,32259,9,65607,0.0174779051224489,72.3762565230513,528079,0.0174778375306985,72.3755642205565,1
-499,-2850,816,19221,32162,9,65538,0.0107860374723002,72.3768967869631,527888,0.0107861045084671,72.3762174975959,1
-521,-2860,705,19237,32406,9,65528,0.0166781719198512,72.364148380722,528148,0.0166783526027632,72.3634924815382,1
-505,-2776,727,19161,32313,9,65527,0.0116014407057845,72.3805116534389,527619,0.0113952040656524,72.3798293643372,1
-490,-2820,718,19209,32363,9,65597,0.0185552702574611,72.3687794753945,528465,0.0185553339774692,72.368101912947,1
-525,-2775,827,19170,32154,9,65548,0.0110302477043906,72.2558424428048,527548,0.0108229367791116,72.2557999827142,1
-464,-2757,904,19154,31970,9,65644,0.0191773838596112,71.9168609728381,528063,0.019048654049763,71.9165258703317,1
-543,-2793,831,19189,32187,9,65555,0.0137502410172247,72.3729533191709,527825,0.013750312034248,72.3722751791428,1
-506,-2790,719,19177,32339,9,65539,0.010961835478611,72.3763980588959,527784,0.0109618722992122,72.3757200050815,1
-501,-2777,753,19165,32281,9,65561,0.0122830613540267,72.3787445562715,527937,0.0122831262142389,72.3780576265991,1
-518,-2789,830,19167,32111,9,65491,0.0182839078005843,71.5271860878596,527089,0.0180761821187772,71.5270886374302,1
-452,-2768,852,19164,32051,9,65643,0.0191808150399613,71.5233639836548,528106,0.0191808226388556,71.5232481751807,1
-460,-2703,777,19106,32209,9,65649,0.0197360264976738,71.0913274589346,528311,0.0197359607948861,71.0772083829606,1
-449,-2776,707,19159,32275,9,65557,0.0188816200221095,72.3885684774573,527575,0.0186696029145665,72.3878681424502,1
-460,-2814,628,19177,32393,9,65455,0.0198778584848779,72.3280158021109,526964,0.0196730343476043,72.327941807372,1
-465,-2696,706,19108,32308,9,65614,0.0178030238466667,72.3880111066979,527748,0.0175871773090839,72.3872983690934,1
-468,-2767,741,19145,32275,9,65577,0.0151762241025839,71.6961043944885,528167,0.0149645457348304,71.6959783502966,1
-444,-2748,686,19133,32342,9,65596,0.0169356085751212,72.3868529372467,528144,0.0167218813112547,72.3861471849776,1
-886,-2725,2164,19141,30226,9,65614,0.0189074205846388,72.3840831372748,527861,0.0189073735999363,72.3833486469031,1
-908,-2702,2271,19116,30050,9,65604,0.0189661193115604,72.390411278059,527679,0.0187419216608377,72.3896662752588,1
-941,-2795,2279,19179,30036,9,65480,0.0167366485422206,71.0450364208972,527014,0.016522684259886,71.0450131503007,1
-939,-2746,2385,19146,29874,9,65566,0.0187827676359587,72.3899155834362,527515,0.0185609277069072,72.3891779909223,1
-892,-2786,2257,19182,30087,9,65609,0.0190598430797594,72.3815228009997,528193,0.0190598756502242,72.3807928271241,1
-950,-2768,2378,19174,29939,9,65607,0.0199506885817363,72.3787368305441,528130,0.0199507791401671,72.3780089183002,1
-932,-2823,2338,19210,29981,9,65567,0.0163509712390395,72.3781157915204,528016,0.0163508788429183,72.377399024239,1
-952,-2769,2438,19154,29808,9,65550,0.0183526998251169,72.3893273510403,527721,0.0181320494493494,72.3885935120326,1
-965,-2813,2376,19166,29943,9,65471,0.0160652438662108,72.1379577979083,527831,0.015851875371129,72.1379567743143,1
-958,-2718,2361,19121,29972,9,65584,0.0160097391890738,71.8094492167123,528005,0.0160096405884975,71.800132231552,1
-965,-2761,2432,19166,29818,9,65562,0.0147814568074702,71.0306173339083,527444,0.0145618098404823,71.0305333848089,1
-927,-2763,2258,19149,30075,9,65509,0.018584164516867,72.3890539626362,527318,0.0183671712506335,72.3883324832234,1
-960,-2812,2412,19184,29865,9,65513,0.0144127221240422,72.3847077655378,527721,0.0141970823837274,72.3839902609897,1
-920,-2762,2386,19154,29869,9,65585,0.0185690803491293,72.3898505797274,527851,0.0183461271222486,72.3891094355209,1
-927,-2789,2337,19160,29986,9,65548,0.0151653226626701,71.6661000663947,528169,0.0149471566510189,71.6660998852222,1
-943,-2793,2406,19161,29851,9,65513,0.0200259472445781,72.3907263491874,527670,0.0198073029996852,72.3899991748014,1
-883,-2734,2216,19142,30111,9,65593,0.0185799190279846,72.3898257647111,527579,0.018357155683702,72.3890857219762,1
-927,-2710,2364,19121,29912,9,65608,0.019108985106879,72.3906691923174,527762,0.0188839784387481,72.3899212574142,1
-957,-2783,2399,19174,29914,9,65580,0.0171772109532451,72.3798421929746,528192,0.017177243941174,72.3791180928893,1
-948,-2784,2203,19170,30207,9,65489,0.0105126437625472,72.3801661370647,527418,0.0103016732871543,72.3794640733884,1
-957,-2705,2321,19106,30011,9,65541,0.0188632445761284,71.915931071281,527498,0.01864322934355,71.9159293768531,1
-972,-2788,2268,19185,30171,9,65557,0.0188164885785864,71.4462780050166,528226,0.0188165947704662,71.4391746074547,1
-925,-2751,2310,19139,30035,9,65581,0.0154900529151974,72.3852846853736,528216,0.0154900411239617,72.3845529565195,1
-943,-2818,2279,19166,30065,9,65433,0.0191012848003864,72.3888655159994,527437,0.0188895118326928,72.3881607880553,1
-945,-2732,2318,19127,29994,9,65530,0.0194748420689247,72.3902767910458,527383,0.0192554303474662,72.3895472318421,1
-462,-2779,671,19154,32389,9,65557,0.0132023444087111,70.9719213775115,NaN,0.0129935287931781,70.9696757657694,0
-504,-2709,743,19122,32286,9,65590,0.0143525581017675,70.967965141553,NaN,0.0143525352633518,70.9678807027348,0
-495,-2798,789,19193,32194,9,65572,0.013420071791982,70.8328066155405,NaN,0.0134200550746317,70.8324627545654,0
-440,-2764,617,19167,32433,9,65593,0.0145747404083475,70.84193786975,NaN,0.0145746523985053,70.8418839911387,0
-513,-2761,925,19139,32003,9,65583,0.0167521561702654,70.9172040892254,NaN,0.0165382111931264,70.9171592276955,0
-469,-2748,869,19151,32043,9,65649,0.0200546276178892,72.3868740687032,NaN,0.0200545475808873,72.3861537271119,0
