C0,C1,C2,C3,C4,C5,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
561,137,-4232,-1554,20046,35584,11,65500,0.00789968968482788,72.3715062072961,527325,NaN,NaN,0
556,139,-4219,-1583,20059,35628,11,65532,0.0028535611685155,72.3662754789268,527234,NaN,NaN,0
558,127,-4215,-1567,20056,35616,11,65534,0.0030905442377481,71.8157342332579,527259,NaN,NaN,0
563,127,-4232,-1538,20064,35567,11,65535,0.0030432527760881,72.3666469515028,527310,NaN,NaN,0
564,132,-4229,-1570,20062,35610,11,65528,0.00372932705883737,72.0512436028879,527178,NaN,NaN,0
554,134,-4204,-1573,20048,35620,11,65538,0.0032123459539855,72.3663104734492,527293,NaN,NaN,0
564,134,-4229,-1559,20064,35590,11,65538,0.00360135698574125,72.1421766512213,527216,NaN,NaN,0
547,133,-4213,-1562,20058,35599,11,65525,0.00343154411881457,72.3072523584867,527253,NaN,NaN,0
558,127,-4221,-1563,20057,35609,11,65525,0.0034433768392797,72.3660402882996,527262,NaN,NaN,0
558,130,-4220,-1548,20057,35576,11,65530,0.00366235220308546,72.3672805656297,527227,NaN,NaN,0
570,130,-4232,-1572,20062,35619,11,65535,0.00372944292462097,71.5068392918678,527224,NaN,NaN,0
564,129,-4217,-1551,20055,35584,11,65544,0.00378942880905079,71.569419658953,527249,NaN,NaN,0
561,132,-4227,-1579,20061,35620,11,65516,0.00464110562141442,71.4136107754101,527079,NaN,NaN,0
556,132,-4214,-1570,20050,35616,11,65524,0.00376346310530922,72.3671098649002,527274,NaN,NaN,0
566,131,-4242,-1575,20067,35631,11,65525,0.00344764829173722,72.3659610100873,527350,NaN,NaN,0
550,138,-4204,-1554,20050,35582,11,65542,0.00367677871688691,72.3667468772819,527313,NaN,NaN,0
548,153,-4218,-1581,20056,35620,11,65536,0.00301421242565844,72.3666492518884,527449,NaN,NaN,0
554,135,-4220,-1555,20065,35584,11,65542,0.00379945351396628,70.9911901631056,527255,NaN,NaN,0
565,124,-4219,-1559,20051,35605,11,65529,0.00400166882027173,72.3676033259127,527252,NaN,NaN,0
569,133,-4238,-1576,20061,35637,11,65535,0.00300078427906706,72.3665458547898,527458,NaN,NaN,0
559,114,-4211,-1556,20047,35618,11,65524,0.00356720701892529,72.3651648169892,527343,NaN,NaN,0
571,127,-4230,-1547,20062,35580,11,65546,0.00398436513262991,71.3628074742373,527259,NaN,NaN,0
569,115,-4244,-1544,20074,35591,11,65531,0.00390167068543198,71.5111705768364,527277,NaN,NaN,0
579,118,-4255,-1534,20075,35575,11,65541,0.00348059141537352,72.3661845906263,527370,NaN,NaN,0
561,140,-4244,-1568,20073,35593,11,65517,0.00469303554767124,71.7372040092109,527127,NaN,NaN,0
553,146,-4244,-1553,20074,35571,11,65523,0.00371184371531392,71.6210387351315,527329,NaN,NaN,0
570,131,-4245,-1544,20070,35574,11,65538,0.00370958524299461,72.3673497906134,527331,NaN,NaN,0
576,126,-4240,-1583,20062,35643,11,65525,0.00432994243192393,71.3247949533075,527210,NaN,NaN,0
559,129,-4236,-1553,20065,35600,11,65528,0.00324067956050998,72.3651033030851,527447,NaN,NaN,0
560,130,-4231,-1565,20070,35610,11,65538,0.00405560184919887,72.0238337914549,527282,NaN,NaN,0
562,133,-4238,-1531,20070,35535,11,65527,0.00484008178301574,71.0944971450772,527122,NaN,NaN,0
565,125,-4227,-1563,20053,35622,11,65528,0.00334374273644797,72.3665666535994,527430,NaN,NaN,0
561,125,-4244,-1553,20074,35593,11,65519,0.00422622337898637,72.3649841326066,527254,NaN,NaN,0
541,132,-4189,-1548,20040,35585,11,65537,0.00346476407873613,72.3653794956068,527412,NaN,NaN,0
558,134,-4213,-1563,20058,35599,11,65547,0.00430215808126297,71.1128166784961,527245,NaN,NaN,0
556,137,-4216,-1550,20060,35573,11,65547,0.00426376591194605,71.4601768737271,527264,NaN,NaN,0
554,134,-4213,-1567,20047,35625,11,65535,0.00290185929503718,72.3657836914988,527546,NaN,NaN,0
573,127,-4260,-1576,20078,35643,11,65527,0.00349771986555805,72.364589429908,527432,NaN,NaN,0
565,128,-4233,-1562,20056,35622,11,65530,0.00307746246681973,72.366269035576,527519,NaN,NaN,0
556,153,-4217,-1607,20059,35658,11,65546,0.00410871627361792,72.36643403395,527308,NaN,NaN,0
552,126,-4205,-1544,20055,35575,11,65543,0.00396641788892878,70.9773207779314,527245,NaN,NaN,0
567,117,-4215,-1571,20048,35647,11,65539,0.00350509215069802,72.1810655047326,527436,NaN,NaN,0
581,116,-4251,-1558,20062,35634,11,65534,0.00288122343781852,72.2059088044674,527582,NaN,NaN,0
561,138,-4253,-1552,20078,35571,11,65515,0.00477215638259954,72.2424652905863,527195,NaN,NaN,0
564,134,-4252,-1548,20076,35566,11,65514,0.00501096682934995,72.3679980455263,527149,NaN,NaN,0
569,128,-4239,-1563,20070,35614,11,65544,0.00397452186826839,72.3650878582884,527363,NaN,NaN,0
562,134,-4209,-1559,20049,35589,11,65543,0.00477927591184974,71.3882573973635,527200,NaN,NaN,0
558,138,-4217,-1555,20054,35581,11,65537,0.00444551673418249,72.368180166313,527269,NaN,NaN,0
552,120,-4217,-1519,20055,35530,11,65512,0.00516060219539954,72.3676283139655,527123,NaN,NaN,0
554,142,-4222,-1528,20061,35531,11,65545,0.00418348220080497,71.6472476805463,527328,NaN,NaN,0
560,116,-4211,-1534,20041,35581,11,65525,0.00370847738662782,72.367250273411,527426,NaN,NaN,0
552,112,-4202,-1497,20035,35533,11,65533,0.0026830211581157,72.3663261604245,527642,NaN,NaN,0
594,127,-4276,-1586,20085,35658,11,65546,0.00395644608294175,71.497850569966,527384,NaN,NaN,0
559,141,-4248,-1538,20069,35569,11,65535,0.00281995058869031,72.3664056770493,527627,NaN,NaN,0
539,144,-4198,-1529,20045,35534,11,65536,0.00399539648974644,72.1834255428289,527387,NaN,NaN,0
573,128,-4250,-1553,20072,35602,11,65542,0.00364756069533673,72.3658043978571,527459,NaN,NaN,0
545,149,-4193,-1640,20034,35737,11,65527,0.00327060551826494,72.3650657478772,527540,NaN,NaN,0
551,129,-4222,-1548,20063,35586,11,65532,0.00412057909473578,72.364256720797,527367,NaN,NaN,0
556,129,-4230,-1551,20064,35573,11,65509,0.005559225172663,71.8552442104338,527073,NaN,NaN,0
530,129,-4154,-1542,20007,35592,11,65532,0.00284150084259112,72.3665656695183,527636,NaN,NaN,0
558,145,-4235,-1546,20068,35553,11,65533,0.00489274765958085,71.0788395511493,527222,NaN,NaN,0
563,143,-4251,-1570,20078,35615,11,65541,0.00363338202922365,72.364963047314,527482,NaN,NaN,0
562,150,-4214,-1581,20056,35609,11,65555,0.00495952491346621,71.0505498952615,527212,NaN,NaN,0
546,144,-4222,-1557,20059,35594,11,65534,0.00336637541159877,72.3652131981845,527541,NaN,NaN,0
566,122,-4208,-1587,20045,35668,11,65544,0.00399226517397311,71.2230334531202,527413,NaN,NaN,0
566,126,-4228,-1557,20059,35611,11,65543,0.00383266119439497,72.3655582435699,527447,NaN,NaN,0
556,133,-4232,-1559,20064,35587,11,65511,0.00529570062867494,72.3674225841767,527148,NaN,NaN,0
