STAGE,TAP_INDEX,COEFFICIENT_INTEGER,FRACTION_BITS
stage1,0,0,15
stage1,1,-5,15
stage1,2,0,15
stage1,3,7,15
stage1,4,0,15
stage1,5,-12,15
stage1,6,0,15
stage1,7,19,15
stage1,8,0,15
stage1,9,-29,15
stage1,10,0,15
stage1,11,42,15
stage1,12,0,15
stage1,13,-59,15
stage1,14,0,15
stage1,15,80,15
stage1,16,0,15
stage1,17,-107,15
stage1,18,0,15
stage1,19,141,15
stage1,20,0,15
stage1,21,-182,15
stage1,22,0,15
stage1,23,233,15
stage1,24,0,15
stage1,25,-293,15
stage1,26,0,15
stage1,27,367,15
stage1,28,0,15
stage1,29,-455,15
stage1,30,0,15
stage1,31,562,15
stage1,32,0,15
stage1,33,-691,15
stage1,34,0,15
stage1,35,849,15
stage1,36,0,15
stage1,37,-1045,15
stage1,38,0,15
stage1,39,1296,15
stage1,40,0,15
stage1,41,-1629,15
stage1,42,0,15
stage1,43,2094,15
stage1,44,0,15
stage1,45,-2803,15
stage1,46,0,15
stage1,47,4044,15
stage1,48,0,15
stage1,49,-6876,15
stage1,50,0,15
stage1,51,20836,15
stage1,52,32768,15
stage1,53,20836,15
stage1,54,0,15
stage1,55,-6876,15
stage1,56,0,15
stage1,57,4044,15
stage1,58,0,15
stage1,59,-2803,15
stage1,60,0,15
stage1,61,2094,15
stage1,62,0,15
stage1,63,-1629,15
stage1,64,0,15
stage1,65,1296,15
stage1,66,0,15
stage1,67,-1045,15
stage1,68,0,15
stage1,69,849,15
stage1,70,0,15
stage1,71,-691,15
stage1,72,0,15
stage1,73,562,15
stage1,74,0,15
stage1,75,-455,15
stage1,76,0,15
stage1,77,367,15
stage1,78,0,15
stage1,79,-293,15
stage1,80,0,15
stage1,81,233,15
stage1,82,0,15
stage1,83,-182,15
stage1,84,0,15
stage1,85,141,15
stage1,86,0,15
stage1,87,-107,15
stage1,88,0,15
stage1,89,80,15
stage1,90,0,15
stage1,91,-59,15
stage1,92,0,15
stage1,93,42,15
stage1,94,0,15
stage1,95,-29,15
stage1,96,0,15
stage1,97,19,15
stage1,98,0,15
stage1,99,-12,15
stage1,100,0,15
stage1,101,7,15
stage1,102,0,15
stage1,103,-5,15
stage1,104,0,15
stage2,0,-115,15
stage2,1,-203,15
stage2,2,534,15
stage2,3,1233,15
stage2,4,-1302,15
stage2,5,-4595,15
stage2,6,2116,15
stage2,7,19945,15
stage2,8,30298,15
stage2,9,19945,15
stage2,10,2116,15
stage2,11,-4595,15
stage2,12,-1302,15
stage2,13,1233,15
stage2,14,534,15
stage2,15,-203,15
stage2,16,-115,15
stage3,0,404,15
stage3,1,-148,15
stage3,2,-3272,15
stage3,3,522,15
stage3,4,19250,15
stage3,5,32016,15
stage3,6,19250,15
stage3,7,522,15
stage3,8,-3272,15
stage3,9,-148,15
stage3,10,404,15
