KEY,VALUE
experiment_id,"technical_report_218_20260811"
execution_date,"2026-08-12 00:13:53"
config_id,"NF-P3-STAGE123-24-20-20-CANDIDATE-R1"
release_status,"board-verified"
board_verification_date,"2026-08-11"
git_head,"860f4a41d3128efa6a782bcef0ca4ad2c5b39ea1"
git_branch,"national-finals-v2025.2-218-board-pass-experiments"
matlab,"9.14.0.2206163 (R2023a)"
vivado,"2025.2"
part,"xc7a35tfgg484-2"
top,"board_demo_competition_dac8_top"
input_bits,"24 signed"
stage_word_length,"24/20/20"
input_sample_rates_hz,"44100,48000"
output_factors,"4,8,128"
passband_hz,"10,20000"
passband_limit_db,"0.05"
stopband_min_db,"70"
frequency_nfft,"1048576"
spectrum_nfft,"262144"
spectrum_window,"coherent rectangular"
power_evidence,"vectorless Medium-confidence archive only; no SAIF claim"
board_audio_evidence,"user-confirmed functional board pass only; no instrument data"
