CASE_NAME,FS_IN_HZ,NODE,OUTPUT_FACTOR,SAMPLE_COUNT,MAX_ERROR_LSB,RMS_ERROR_LSB,SQNR_DB,DC_ERROR_LSB,ACC_OVERFLOW_COUNT,WHOLE_RUN_SATURATION_COUNT,ANALYZED_OUTPUT_RAIL_COUNT,EXPECTED_BOUNDARY_CASE
impulse_positive_fullscale,0,4x,4,1245,13.6250955313444,2.06725541204982,107.155189896066,-0.0867475762424699,0,1,0,1
impulse_positive_fullscale,0,8x,8,2499,17.9931255588308,2.52732380445286,105.39394470154,-0.0550229856861186,0,1,0,1
impulse_positive_fullscale,0,128x,128,40064,22.3954480395769,3.1250890957571,103.53647177576,-0.0665961468029778,0,1,0,1
impulse_negative_fullscale,0,4x,4,1245,7.984375,2.03100173220195,107.308867806997,0.0771084337349398,0,0,0,1
impulse_negative_fullscale,0,8x,8,2499,15.0039277076721,2.50165179054716,105.482626309123,0.0518207282913165,0,0,0,1
impulse_negative_fullscale,0,128x,128,40064,22.3610497638583,3.10091481765137,103.60392415554,0.0498202875399361,0,0,0,1
tone_997Hz_m1dBFS_Fs44100,44100,4x,4,4096,16.9426110954955,6.18359362681771,118.614179694074,-0.128642455472345,0,0,0,0
tone_997Hz_m1dBFS_Fs44100,44100,8x,8,8192,23.0437340512872,7.4314419940191,117.016101594376,-0.143346215194043,0,0,0,0
tone_997Hz_m1dBFS_Fs44100,44100,128x,128,131072,28.0748453540727,8.24897841196588,116.105824387953,-0.0858060371577327,0,0,0,0
tone_10000Hz_m1dBFS_Fs44100,44100,4x,4,4096,16.2371223410591,6.21094706087673,118.602570206517,-0.064012949768312,0,0,0,0
tone_10000Hz_m1dBFS_Fs44100,44100,8x,8,8192,21.649864025414,7.33848806414839,117.154224284494,-0.0746887585200175,0,0,0,0
tone_10000Hz_m1dBFS_Fs44100,44100,128x,128,131072,29.316979742609,8.23861983397472,116.143325522503,-0.0461383881596895,0,0,0,0
tone_19000Hz_m1dBFS_Fs44100,44100,4x,4,4096,15.6086612306535,6.27700663050264,118.509434154192,0.0159223896703224,0,0,0,0
tone_19000Hz_m1dBFS_Fs44100,44100,8x,8,8192,21.9673769650981,7.5519854858374,116.904926223482,0.0254422472628083,0,0,0,0
tone_19000Hz_m1dBFS_Fs44100,44100,128x,128,131072,27.7885563927703,8.29732261881605,116.083007956596,-0.00716908769007762,0,0,0,0
tone_997Hz_m60dBFS_Fs44100,44100,4x,4,4096,16.4718456966802,5.61353724885984,60.4542724424475,-0.0304761524535024,0,0,0,0
tone_997Hz_m60dBFS_Fs44100,44100,8x,8,8192,19.8665098113819,7.16884542560966,58.3285851921757,-0.031143350513082,0,0,0,0
tone_997Hz_m60dBFS_Fs44100,44100,128x,128,131072,26.5962871623312,7.48671043917036,57.9480130592495,-0.0196168209747438,0,0,0,0
