MODE_ID,FS_IN_HZ,OUTPUT_FACTOR,FS_OUT_HZ,TARGET_TONE_HZ,ACTUAL_COHERENT_TONE_HZ,FFT_LENGTH,FUNDAMENTAL_DBFS,FIRST_IMAGE_PEAK_DBFS,WORST_IMAGE_PEAK_DBFS,FIRST_IMAGE_REJECTION_DBC,WORST_IMAGE_REJECTION_DBC,SFDR_DB,THD_2_TO_5_DB,DC_DBFS,STARTUP_TRANSIENT_SATURATION_COUNT,STEADY_OUTPUT_RAIL_COUNT,PASS
F441_M4,44100,4,176400,997,997.256469726562,262144,-1.00063833128286,-90.2347970542329,-85.369033070104,89.23415872295,84.3683947388211,84.3683947388211,-147.505225543653,-360,0,0,1
F441_M4,44100,4,176400,10000,10000.1541137695,262144,-0.999554945817928,-97.1639827847484,-89.6365719760206,96.1644278389304,88.6370170302027,88.6370170302027,-141.946089276699,-222.762194562128,0,0,1
F441_M4,44100,4,176400,19000,18999.6871948242,262144,-0.997919019096836,-82.1922278798783,-81.8456449480418,81.1943088607815,80.8477259289449,80.8477259289449,-163.962509576397,-360,0,0,1
F441_M8,44100,8,352800,997,997.256469726562,262144,-1.0016828914019,-90.4661500842006,-90.4661500842006,89.4644671927987,89.4644671927987,89.4644671927987,-147.004383704256,-360,0,0,1
F441_M8,44100,8,352800,10000,9999.48120117188,262144,-0.999317139712892,-97.2727184198502,-87.4247397734135,96.2734012801373,86.4254226337006,86.4254226337006,-142.424632872299,-360,0,0,1
F441_M8,44100,8,352800,19000,19000.3601074219,262144,-0.998276197409199,-82.2144991976679,-82.2144991976679,81.2162230002587,81.2162230002587,81.2162230002587,-155.860663732175,-360,0,0,1
F441_M128,44100,128,5644800,997,990.52734375,262144,-1.0054042851512,-90.3072917388846,-90.3072917388846,89.3018874537334,89.3018874537334,89.3018874537334,-155.829902928813,-360,0,0,1
F441_M128,44100,128,5644800,10000,9991.40625,262144,-1.00451371192902,-97.7920354388609,-92.9750365279523,96.7875217269318,91.9705228160232,91.9705228160232,-136.244286747259,-360,0,0,1
F441_M128,44100,128,5644800,19000,18992.28515625,262144,-1.0030742470614,-82.0343370034832,-75.5489315343296,81.0312627564218,74.5458572872681,74.5458572872681,-150.406035049456,-360,0,0,1
F480_M4,48000,4,192000,997,996.826171875,262144,-1.00052519915916,-88.8935065865645,-85.3512187462879,87.8929813874053,84.3506935471288,84.3506935471288,-148.094758475575,-360,0,0,1
F480_M4,48000,4,192000,10000,9999.755859375,262144,-0.998103463634664,-86.4940025898172,-86.4940025898172,85.4958991261825,85.4958991261825,85.4958991261825,-149.873882576311,-360,0,0,1
F480_M4,48000,4,192000,19000,18999.755859375,262144,-0.997717458143725,-81.9892471970504,-81.5060008601288,80.9915297389067,80.5082834019851,80.5082834019851,-168.20270396291,-360,0,0,1
F480_M8,48000,8,384000,997,997.55859375,262144,-1.00157302068363,-89.1399749966457,-89.1399749966457,88.1384019759621,88.1384019759621,88.1384019759621,-146.70553070578,-360,0,0,1
F480_M8,48000,8,384000,10000,10000.48828125,262144,-0.998026158220289,-86.5527313121223,-86.5527313121223,85.554705153902,85.554705153902,85.554705153902,-149.020165364366,-360,0,0,1
F480_M8,48000,8,384000,19000,19000.48828125,262144,-0.997340091237876,-82.0052769699178,-82.0052769699178,81.0079368786799,81.0079368786799,81.0079368786799,-158.63527744171,-360,0,0,1
F480_M128,48000,128,6144000,997,1007.8125,262144,-1.00531299996957,-89.2374942679521,-89.2374942679521,88.2321812679825,88.2321812679825,88.2321812679825,-139.073021835762,-360,8,0,1
F480_M128,48000,128,6144000,10000,10007.8125,262144,-1.00307326889574,-86.3902583167654,-86.3902583167654,85.3871850478697,85.3871850478697,85.3871850478697,-139.111704891608,-360,0,0,1
F480_M128,48000,128,6144000,19000,19007.8125,262144,-1.00267331422968,-82.0079144007753,-77.8531287925162,81.0052410865457,76.8504554782865,76.8504554782865,-155.489792580202,-360,0,0,1
