KEY,VALUE
config_id,NF-P3-STAGE123-24-20-20-CANDIDATE-R1
rtl_vector_cases_passed,6
rtl_vector_cases_total,6
rtl_max_error_lsb,0
e1_max_acc_overflow,0
e1_normal_max_analyzed_output_rail_count,0
e1_boundary_max_whole_run_saturation,615
e2_modes_passed,6
e2_modes_total,6
e2_worst_pass_abs_db,0.0078438526672
e2_worst_stop_db,72.3552518986
e2_worst_phase_residual_rad,9.94759830064e-14
e2_worst_symmetry_lsb,0
e3_cases_passed,18
e3_cases_total,18
e3_worst_image_rejection_dbc,74.5458572873
e3_max_steady_output_rail_count,0
e3_max_startup_transient_saturation,8
implementation_lut,218
implementation_ff,365
implementation_dsp,4
implementation_bram_tile,2
implementation_wns_ns,45.279000
implementation_whs_ns,0.079000
overall_software_gate,1
