CASE,STATUS,EVIDENCE
rom,PASS,"dual-rate ROM data, wrap, synchronous family reset"
dac_offset_binary_equivalence,PASS,"1029 samples equivalent"
unified_coeff_ramb18_primitive,PASS,"52 Stage1 plus 128 Stage23 addresses"
history_ramb18_primitive,PASS,"address sweep 128 plus random 5000"
stage1_single_bram_equivalence,PASS,"1400 outputs, 0 LSB"
stage1_single_bram_primitive_equivalence,PASS,"1400 outputs, 0 LSB"
equalizer,PASS,"2009 samples, 391 signed-20/21 boundary crossings"
stage23_unified_history,PASS,"Stage2/3 history candidate 0 LSB equivalent"
cic_serial_equivalence,PASS,"continuous/stalled/reset, 3840 samples"
cic_n3_hold_equivalence,PASS,"DSP modes 2/1/0, 10x256 seeds, 4096 outputs"
clock,PASS,"dual-family frequency plus 100-switch pulse-width stress"
mode_cdc_handshake,PASS,"1200 transitions, atomic commit and one ACK"
keypad,PASS,"SW1-SW8 family/mode behavior"
board,PASS,"reset, scan, mode wait and family wait integration"
full_chain_bittrue,PASS,"impulse plus random seed, all nodes 0 LSB"
full_chain_reset_recovery,PASS,"8 internal-state scenarios, 4096 y128 outputs each"
dynamic_mode_switch,PASS,"10 no-reset switches, no runt pulse or X"
