module,LUT218_LUT,LUT239_LUT,delta_239_minus_218_LUT,LUT218_FF,LUT239_FF,delta_239_minus_218_FF,LUT218_DSP,LUT239_DSP,delta_239_minus_218_DSP,LUT218_RAMB18,LUT239_RAMB18,delta_239_minus_218_RAMB18
FIR1级,11,10,-1,83,83,0,1,1,0,1,1,0
FIR2/3级,20,20,0,73,73,0,1,1,0,1,1,0
FIR共享系数存储,0,0,0,0,0,0,0,0,0,1,1,0
2→4倍桥接量化,51,52,1,2,2,0,0,0,0,0,0,0
16倍CIC插值,34,57,23,109,132,23,2,1,-1,0,0,0
滤波器核心跨级/共享逻辑,7,7,0,0,0,0,0,0,0,0,0,0
核心—外围接口共享逻辑,59,57,-2,0,0,0,0,0,0,0,0,0
测试音频ROM,0,0,0,15,15,0,0,0,0,1,1,0
音频公共封装/DAC,1,1,0,9,9,0,0,0,0,0,0,0
按键与模式控制,11,11,0,39,39,0,0,0,0,0,0,0
时钟管理,0,0,0,0,0,0,0,0,0,0,0,0
板级顶层控制,9,9,0,35,35,0,0,0,0,0,0,0
外围跨模块共享逻辑,15,15,0,0,0,0,0,0,0,0,0,0
来源不可恢复逻辑,0,0,0,0,0,0,0,0,0,0,0,0
