variant,module,LUT,FF,DSP48E1,RAMB18E1
LUT218,FIR1级,11,83,1,1
LUT218,FIR2/3级,20,73,1,1
LUT218,FIR共享系数存储,0,0,0,1
LUT218,2→4倍桥接量化,51,2,0,0
LUT218,16倍CIC插值,34,109,2,0
LUT218,滤波器核心跨级/共享逻辑,7,0,0,0
LUT218,核心—外围接口共享逻辑,59,0,0,0
LUT218,测试音频ROM,0,15,0,1
LUT218,音频公共封装/DAC,1,9,0,0
LUT218,按键与模式控制,11,39,0,0
LUT218,板级顶层控制,9,35,0,0
LUT218,外围跨模块共享逻辑,15,0,0,0
LUT239,FIR1级,10,83,1,1
LUT239,FIR2/3级,20,73,1,1
LUT239,FIR共享系数存储,0,0,0,1
LUT239,2→4倍桥接量化,52,2,0,0
LUT239,16倍CIC插值,57,132,1,0
LUT239,滤波器核心跨级/共享逻辑,7,0,0,0
LUT239,核心—外围接口共享逻辑,57,0,0,0
LUT239,测试音频ROM,0,15,0,1
LUT239,音频公共封装/DAC,1,9,0,0
LUT239,按键与模式控制,11,39,0,0
LUT239,板级顶层控制,9,35,0,0
LUT239,外围跨模块共享逻辑,15,0,0,0
