module,LUT218_LUT,LUT239_LUT,delta_239_minus_218_LUT,LUT218_FF,LUT239_FF,delta_239_minus_218_FF,LUT218_DSP,LUT239_DSP,delta_239_minus_218_DSP,LUT218_RAMB18,LUT239_RAMB18,delta_239_minus_218_RAMB18
FIR1级,37,36,-1,83,83,0,1,1,0,1,1,0
FIR2/3级,40,38,-2,73,73,0,1,1,0,1,1,0
FIR共享系数存储,0,0,0,0,0,0,0,0,0,1,1,0
2→4倍桥接量化,41,41,0,2,2,0,0,0,0,0,0,0
16倍CIC插值,38,62,24,121,144,23,2,1,-1,0,0,0
滤波器核心跨级/共享逻辑,34,35,1,0,0,0,0,0,0,0,0,0
核心—外围接口共享逻辑,0,0,0,0,0,0,0,0,0,0,0,0
测试音频ROM,0,0,0,0,0,0,0,0,0,0,0,0
音频公共封装/DAC,0,0,0,0,0,0,0,0,0,0,0,0
按键与模式控制,0,0,0,0,0,0,0,0,0,0,0,0
时钟管理,0,0,0,0,0,0,0,0,0,0,0,0
板级顶层控制,0,0,0,0,0,0,0,0,0,0,0,0
外围跨模块共享逻辑,0,0,0,0,0,0,0,0,0,0,0,0
来源不可恢复逻辑,0,0,0,0,0,0,0,0,0,0,0,0
