variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT218,SLICE_X10Y54/ALUT,interp128_all2x_LUT6_16,,FIR2/3级,FIR2/3级
LUT218,SLICE_X10Y54/BLUT,gen_primitive.u_stage23_history_ramb18e1_i_31;gen_primitive.u_stage23_history_ramb18e1_i_32,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X10Y54/CLUT,stage2_pending_i_1;stage3_pending_i_1,FIR2/3级,FIR2/3级,FIR2/3级
LUT218,SLICE_X10Y54/DLUT,interp128_all2x_LUT6_10,,FIR2/3级,FIR2/3级
LUT218,SLICE_X10Y55/ALUT,interp128_all2x_LUT3_25,,FIR2/3级,FIR2/3级
LUT218,SLICE_X10Y55/BLUT,interp128_all2x_LUT3_22;interp128_all2x_LUT4_24,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X10Y55/CLUT,interp128_all2x_LUT6_15,,FIR2/3级,FIR2/3级
LUT218,SLICE_X10Y55/DLUT,interp128_all2x_LUT6_9,,FIR2/3级,FIR2/3级
LUT218,SLICE_X10Y56/ALUT,interp128_all2x_LUT5_25,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y54/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_33;gen_primitive.u_stage23_history_ramb18e1_i_34,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X11Y54/BLUT,interp128_all2x_LUT6_11,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y55/ALUT,interp128_all2x_LUT6_3,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y55/BLUT,interp128_all2x_LUT6_4,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y55/CLUT,interp128_all2x_LUT3_20,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y55/DLUT,interp128_all2x_LUT2_6,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y56/ALUT,interp128_all2x_LUT3_28,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X11Y56/BLUT,interp128_all2x_LUT3_27,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X11Y56/CLUT,interp128_all2x_LUT2_10,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X11Y57/ALUT,job_result_pending_i_1;u_stage23_dsp48e1_i_14,2→4倍桥接量化;FIR2/3级,FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X11Y57/BLUT,interp128_all2x_LUT1_31;interp128_all2x_LUT2_45,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y57/CLUT,interp128_all2x_LUT6_5,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y57/DLUT,interp128_all2x_LUT3_24,,FIR2/3级,FIR2/3级
LUT218,SLICE_X11Y58/ALUT,job_output_pending_i_1;job_saturation_pending_i_1,FIR2/3级,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y55/ALUT,interp128_all2x_LUT5_14,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y55/BLUT,interp128_all2x_LUT5_16,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y55/CLUT,interp128_all2x_LUT5_19,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y55/DLUT,interp128_all2x_LUT5_21,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y56/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_36;gen_primitive.u_stage23_history_ramb18e1_i_37,2→4倍桥接量化,2→4倍桥接量化;FIR1级;FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X12Y56/BLUT,interp128_all2x_LUT5_13,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y56/CLUT,interp128_all2x_LUT5_18,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y56/DLUT,interp128_all2x_LUT5_7,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y57/ALUT,interp128_all2x_LUT2_53;interp128_all2x_LUT2_55,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y57/BLUT,interp128_all2x_LUT5_10,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y57/CLUT,interp128_all2x_LUT5_12,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y57/DLUT,interp128_all2x_LUT5_8,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X12Y58/ALUT,stage3_y_out_valid_i_1;u_stage23_dsp48e1_i_16,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X12Y58/BLUT,interp128_all2x_LUT2_7;interp128_all2x_LUT3_29,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y58/CLUT,interp128_all2x_LUT2_48;interp128_all2x_LUT2_49,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y58/DLUT,interp128_all2x_LUT2_54,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y59/ALUT,interp128_all2x_LUT3;interp128_all2x_LUT3_1,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y59/BLUT,interp128_all2x_LUT3_14;interp128_all2x_LUT3_16,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y60/ALUT,interp128_all2x_LUT3_13;interp128_all2x_LUT3_15,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y60/BLUT,interp128_all2x_LUT3_17,,FIR2/3级,FIR2/3级
LUT218,SLICE_X12Y62/ALUT,interp128_all2x_LUT2_12,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT218,SLICE_X12Y63/ALUT,interp128_all2x_LUT1_81,,16倍CIC插值;2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X13Y55/ALUT,interp128_all2x_LUT5_15,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X13Y55/BLUT,interp128_all2x_LUT5_22,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
